,index,company,date,link,location,sallary,summary,title,text
0,0,"
        Apprio Inc.",Just posted,https://www.indeed.com/company/Apprio-Inc./jobs/Mobile-Solution-Specialist-464974220317b5b0?fccid=29d53c699af4f174&vjs=3,"Washington, DC",,"
            AI, ML frameworks like Google TensorFlow, Amazon ML Scikit-learn, etc. or distributed ledger systems like Bitcoin, Ethereum, Stellar, etc.)....","
Mobile Solutions Specialist (Data Scientist)
","Apprio is an innovator of specialized technology and program solutions for the federal health, defense, and homeland security markets. The company provides services in technology transformation, organizational excellence, health IT & solutions, emergency response management, and international development. Apprio delivers the methodologies, discipline and expertise provided by the large integrators, with the cost structure and collaboration offered by smaller firms. Year after year we’ve grown by 50% or more due to our holistic approach in delivering solutions, thought-leadership, and synergistic teams to address our client’s needs.

Apprio is seeking an experienced Mobile Solutions Specialist to support our fully funded contract with USAID. The Mobile Solutions Specialist is responsible for working with other technical advisors to determine appropriate, context-relevant roles for emerging technologies in addressing priority development challenges and enhancing the Agency’s capacity to responsibly integrate emerging analytical methods into routine decision making.
• Assembles, analyzes, and communicates original analysis regarding potential roles for emergent approaches and technologies in international development programming.
• Cultivates relationships and coordinates with other Bureaus, Missions, and other partners to ensure alignment with emergent analytical methods (e.g. machine learning) to support USAID programs within and external to the Agency.
• Coordinating and Applying data science techniques to help address international development and humanitarian challenges.
• Facilitate discussion among Key USAID stakeholders to articulate a vision and plan for responsible integration of emerging technologies and novel data science approaches into planning, delivering and assessing development programs.
• Test emerging technologies abilities to analysis, process and manage the data from a range of sources for improved decision making.
• Collaborate with colleagues within relevant pillar and regional bureaus and missions in order to reflect the broader agency needs and requirements within emerging partnerships. Consults as needed with other federal agencies to identify synergies and areas of further leverage.
• In coordination with knowledge management and communications staff and experts, prepares or coordinates preparation of reports, briefings, conferences, publications, training, and other means of promoting wide understanding of improved knowledge and methods.
• Assists in development of materials to facilitate the creation of technical and non-technical strategic guidance to keep missions and team members coordinated on various analytical and mobile solutions best practices.
• Performs a variety of other duties related to special projects involving administrative or program issues. Special projects include research of mobile solutions currently ongoing, strategic assessment of other donors promoting mobile solutions, and assessment of commercial viability of sector-specific solutions such as mobile agriculture/health/etc. initiatives.
• Provide training and capacity building services to around mobile solutions and analytical approaches in the context of international development programming.
• Knowledge of and /or demonstrated interest in international development.
• Exceptional, creative and streamlined writing skills that demonstrate cognitive thinking, analytic rigor and integration of diverse thoughts and ideas.
• Self-starter attitude, willing and capable of performing internal and external outreach and developing relationships with a wide set of actors in the international development community and across the private sector, with little guidance.
• Demonstrated interest or background in relevant platforms for emerging technologies or analytical approaches (e.g.; AI, ML frameworks like Google TensorFlow, Amazon ML Scikit-learn, etc. or distributed ledger systems like Bitcoin, Ethereum, Stellar, etc.)
• Passion for researching new topics and educating team members on key findings and trends, particularly as they relate to Emerging Technology
• Strong quantitative background and experience in, e.g., data collection, machine learning, processing and applied analysis and visualization using statistical software for programming languages (e.g.; Python, R, Stata, SPSS, MATLAB, Tableau)
• Passion for the role Information and Communication Technologies play in advancing international development objectives and driving inclusive development using mobile and digital channels.
• Ability to work well in teams.

Apprio offers a collegial and supportive environment focused on its greatest assets…its people. With a competitive compensation and benefits program designed to attract, motivate, and develop our people; we pride ourselves on creating a culture of teamwork, client focus, and fun. Our benefits program allows our employees to select the features that make the most sense for their individual and/or dependent(s) needs. Features include medical, prescription drug, dental, vision, disability, retirement savings, and a competitive paid time off program. Apprio is an equal employment opportunity company. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability or protected veteran status."
1,1,"
        Live Planet",Today,https://www.indeed.com/company/Live-Planet/jobs/Videocoin-Product-Manager-22e92296dcd0ab1a?fccid=93bdb16c1dbcbbfc&vjs=3,"San Jose, CA",,"
            Company Overview Live Planet, Inc. develops infrastructural technologies to enable next-generation video applications. Live Planet was founded by serial...","
VideoCoin Product Manager
","Responded to 75% or more applications in the past 30 days, typically within 6 days.

Live Planet, Inc. develops infrastructural technologies to enable next-generation video applications. Live Planet was founded by serial entrepreneur Halsey Minor, who to date has founded or co-founded technology companies that have created over $100 billion in cumulative value, including: CNET, Uphold, Salesforce, Google Voice, OpenDNS, and Vignette.
• The Live Planet VR System: the only end-to-end capture, distribution, and monetization system for immersive video. The Live Planet System makes it easy, practical, and affordable to create and deliver stereoscopic VR and 360° video, whether live or recorded, allowing creators to focus on their productions and applications. (www.LivePlanet.net)
• The VideoCoin Network: video infrastructure for a blockchain-enabled Internet. The VideoCoin Network is a decentralized video encoding, storage, and content distribution system that turns all cloud-based video services into an efficient algorithmic market running on a new blockchain with a native protocol token, the VideoCoin. (www.VideoCoin.io)

We are looking for a seasoned and ambitious Product Manager to drive and manage the product roadmap for our VideoCoin Network.
• Work on defining the product roadmap to bring video streaming infrastructure to a blockchain powered, decentralized model
• Define, communicate and champion the product vision and strategy to all internal and external stakeholders.
• Work collaboratively with and engage engineering leaders both within our company and within the open source blockchain community
• Define, track and interpret key business metrics to track overall product success
• Identify and evaluate industry trends, new service ventures and new technologies as they relate to new product development
• Work closely with customers to identify customer and market needs, define use cases and establish user personas
• Own the product roadmap, lead the product feature planning process and work closely with engineering to ensure successful delivery
• Define, track and interpret key business metrics to track overall product success
• Understand the market and competition, and develop product and competitive positioning
• 5+ years Product Management experience, most of which has been spent on deeply technical SaaS products
• Must be experienced with Blockchain technologies. Knowledge of Ethereum protocol strongly desired
• Experience with different consensus protocols and real-world implementations
• Has deep ecosystem knowledge of blockchain technologies and tool chains
• Strong interpersonal skills and ability to work with constantly evolving, decentralized, diverse teams
• Effective verbal and written communication skills, able to write clearly and interact well with all levels of audience.
• An understanding of software development and ability to work closely with Technology teams in scheduling functional and non-functional requirements
• High emotional intelligence and the ability to empathize with users
• Experience coaching, motivating, and giving feedback to a team of developers
• Ability to organize, sort and act upon complex information quickly
• Ability to thrive in an exciting team environment where being self-directed, determined, and resilient are a requirement
• Collaborative by nature; willingness to give and receive feedback
• Open to learning; flexible to the project you are working on
• Comfortable with ambiguity; welcomes the challenge of developing new ideas and approaches in a semi-unstructured environment

Live Planet is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status."
2,2,"
        OKCoin USA, Inc.",Today,https://www.indeed.com/rc/clk?jk=c1be22fe78410886&fccid=63aacc62ac445d2d&vjs=3,"San Francisco, CA 94105 (Financial District area)",,"
            Founded in 2013, we provide traders and institutions with a fiat-to-token trading platform for digital assets including Bitcoin, Bitcoin Cash, Ethereum,...","
Product Manager
","OKCoin is one of the world’s first and largest regulated digital asset exchanges, with millions of users in more than 100 countries around the world. Founded in 2013, we provide traders and institutions with a fiat-to-token trading platform for digital assets including Bitcoin, Bitcoin Cash, Ethereum, Ethereum Classic and Litecoin, with more assets coming soon. Offering fast trades and industry-leading expertise and support, our mission is to help eliminate trading barriers and improve transaction efficiency while complying with the highest regulatory standards in the US and the world.
• Own the consumer experience from registration to digital currency trading
• Work with cross-functional team to define and deliver product roadmap
• Collaborate with designers and engineers to develop detailed product specification
• Plan, organize, and deliver new products and features to the market
• Stay informed of the overall market landscape, including competitors and potential partners
• Work with Marketing to develop and optimize new user acquisition and retention
• Monitor key product metrics and continuously improve them through ongoing product iteration
• Must have prior product leadership experience with a track record of managing all aspects of a successful product throughout its lifecycle
• Excellent written and verbal communications skills; ability to translate strategy into clear and actionable plans for Product Development, Engineering, Design and Sales
• Ability to understand and assess engineering, design and schedule tradeoffs
• Have a eye for good design and user experience
• Strong analytical, prioritization, and problem solving skills and willingness to roll up one’s sleeves to get the job done
• Ability to travel to Beijing up to 50% or more.

OKCoin Statement: 

 OKCoin is committed to equal employment opportunities regardless of race, color, genetic information, creed, religion, sex, sexual orientation, gender identity, lawful alien status, national origin, age, marital status, and non-job related physical or mental disability, or protected veteran status."
3,3,"
        XY - The Persistent Company",Today,https://www.indeed.com/company/XY---The-Persistent-Company/jobs/Customer-Obsession-Call-Center-Representative-f21cbd621f8cd505?fccid=9d4513da3a646e45&vjs=3,"San Diego, CA","
                $15 - $18 an hour","
            Ethereum-based smart contracts give the ability to utilize the blockchain and crypto-economic principles across countless industries and implementations....","
Customer Obsession Call Center Representative
","Ethereum-based smart contracts give the ability to utilize the blockchain and crypto-economic principles across countless industries and implementations. However, we currently don’t have a decentralized and authoritative oracle to determine and verify location. The XYO Network solves this problem by creating a layered location verification service that is effective across many device classes and smart contract protocols. It’s based on a set of novel cryptographic mechanisms, Proof of Origin and Bound Witnesses, which tie together the power of the blockchain and real-world data collection into a system with direct applications today. The XYO Network is also the world's first Proof of Location blockchain project with over 1 million Bluetooth and GPS devices in the world. Please visit https://www.xyo.network to learn more. The company behind XYO Network is XY Findables, which was started in 2012 and has produced over 1 million devices in the Bluetooth & GPS Findables businesses. Here is the corporate website of XY Findables (https://www.xyfindables.com/).

We are currently searching for a polite, professional Call Center Representative to work closely with other team members in the Customer Obsession Department to provide outstanding service to our investors and purchasers by answering questions, handling complaints, and troubleshooting problems with our products and services. The Call Center Representative may handle a high volume of inbound or outbound calls or both and should seek to create a positive experience for each caller. They will listen to understand the reason for their call, address all questions or complaints, and provide an accurate and efficient response.To be a successful Call Center Representative, you should be customer-focused, detail oriented, polite, reliable, and knowledgeable.

At XYO, we're making history by bringing the power of Blockchain to the offline world with the world's first crypto-location network. From a laid back team atmosphere located 4 blocks from San Diego Harbor to unlimited Coke Zeros, we're always on the hunt for smart, driven individuals excited about working on the next big thing. Interested? Apply today!
• Call all new investors/purchasers to welcome into the family
• Follow up calls where necessary
• Strong phone and verbal communication skills along with active listening"
4,4,"

        VMware",2 days ago,https://www.indeed.com/rc/clk?jk=96052d24e1300713&fccid=c762a27145bd166e&vjs=3,"Palo Alto, CA 94304",,"
            Experience with Ethereum, Hyperledger a plus. Blockchain is an emerging technology that promises to change the world we live in....","
Blockchain Member of Technical Staff
","Blockchain is an emerging technology that promises to change the world we live in. With VMware’s vast experience in building highly trusted distributed systems we have been doing advanced research in this space for several years. We are now building out a team of highly skilled engineers to build on this research for VMware.
• Contribute to the implementation of a blockchain environment including but not limited to the consensus layer, distributed ledger, and smart contracts layer. This could include dealing with the data layer, the security layer, or a distributed network layer.
• Contribute to the implementation of a SaaS service that manages and monitors blockchain replica
• Contribute to the implementation of a deployment service that deploys blockchain replicas across clouds
• Collaborate effectively with other engineers to solve complex problems.
• Assist with debugging and verification of defects in your own and others' work
• Experience in one of the following disciplines:
• Experience in mainstream programming languages such as Java/C/C++.
• Exposure to multiple programming languages is desired, as the ability to pick up and use the language that suits a body of work is expected"
5,5,"

        VMware",2 days ago,https://www.indeed.com/rc/clk?jk=b62eee0893f78416&fccid=c762a27145bd166e&vjs=3,"Palo Alto, CA 94304",,"
            Experience with Ethereum, Hyperledger a plus. Blockchain is an emerging technology that promises to change the world we live in....","
Blockchain Senior Software Engineer
","Blockchain is an emerging technology that promises to change the world we live in. With VMware’s vast experience in building highly trusted distributed systems we have been doing advanced research in this space for several years. We are now building out a team of highly skilled engineers to build on this research for VMware.
• Contribute to the implementation of a blockchain environment including but not limited to the consensus layer, distributed ledger, and smart contracts layer. This could include dealing with the data layer, the security layer, or a distributed network layer.
• Contribute to the implementation of a SaaS service that manages and monitors blockchain replica
• Contribute to the implementation of a deployment service that deploys blockchain replicas across clouds
• Collaborate effectively with other engineers to solve complex problems.
• Assist with debugging and verification of defects in your own and others' work
• Experience in one of the following disciplines:
• Experience in mainstream programming languages such as Java/C/C++.
• Exposure to multiple programming languages is desired, as the ability to pick up and use the language that suits a body of work is expected"
6,6,"

        Woodrow Mercer",2 days ago,https://www.indeed.com/rc/clk?jk=3654ea6a9d7e8070&fccid=c2ea105b737e35e3&vjs=3,"New York, NY",,"
            Previous experience with Ethereum, Corda (R3), Hyperledger would be preferable but is not a necessity. We are looking for Blockchain architects / Senior...","
Blockchain Architect / Senior developer
","We are looking for Blockchain architects / Senior developers to join a Financial institution based in New York.

Previous experience with Ethereum, Corda (R3), Hyperledger would be preferable but is not a necessity.
• Bridge between business units and technical team when needed
• Provide technical leadership on blockchain technologies and work across peer groups to develop blockchain solutions for the business
• Ability to create POC's based on potential areas of success within the business
• Computer Science, Mathematics or equivalent degree would be preference, but relevant experience is priority.
• Experience of Blockchain architecture in a commercial setting would be preferable
• C++ or Golang experience would be preference but 4+ years with core languages will be considered.

If you feel the above describes you, send across your resume and I'll make sure to respond within 48 hours."
7,7,"
        Payments & Cards Network",2 days ago,https://www.indeed.com/rc/clk?jk=bf1e1e4eee5528a7&fccid=55bf6ffe5c42e816&vjs=3,"San Francisco, CA",,"
            Strong knowledge of Bitcoin, Ethereum (e.g., ERC-20, ERC-721), and other protocols. We are looking for a Product Manager to join our team....","
Product Manager (Crypto/Blockchain)
","We are looking for a Product Manager to join our team. Product is the hot seat, and especially in a market that evolves as rapidly as crypto. You bring your thirst for changing the world, and together we’ll make sure that it’s delivered to millions. We’re looking for someone who backs themselves and articulates their hypotheses for the future of product, and the crypto ecosystem at large.

Our client is a Blockchain powerhouse with leading infrastructure provider in crypto. Our client is the leading infrastructure provider in crypto. After trading over $3.5 billion in cryptocurrency assets and completing over $750 million in bank-to-bank FX payments, we have an established network of relationships with leading banks and exchanges. Using our client’s API, customers are able to instantly convert fiat to crypto globally in over 50 countries, in 8 different fiat currencies, and over cryptocurrencies. We focus on compliance, licensing, and regulatory aspects so our partners can do what they do best, creating amazing tools on the blockchain.

Their APIs have been helping leading brokerage services, exchanges, institutions, banks, and traditional fintech teams (remittance/payroll/savings) looking to add crypto. They power $1B+ of transfers and maintain a perfect track record for security. If you are obsessed with the ecosystem, and excited to be working with the top tier platforms of the ecosystem, then we will put you in a position to accomplish the best work that the industry has seen to date.

Had you been with us in the last few months, you would have:
• Jumped on a call with key partners to understand their needs and strategic plans.
• Made tough priority calls and trade-offs balancing available time, talent, and critical business needs.
• Planned product directly with partners that are founders of $1B+ startups in the space.
• Sat down with leadership teams deploying smart contracts that are capturing $1M+ in daily active value.
• Evaluated the flows of our partners looking to optimize conversion funnels for 50k+ new users per month.
• Collaborated with engineering leads to set up your teams for success in executing on the roadmap.
• Had a finger on the pulse of your team and initiatives through regular check-ins.
• Attended a community meetup to learn and support the ecosystem and build relationships with the teams contributing to the ecosystem’s progression.
• Got your hands dirty with data sources in-house and third-party providers to predict the leaks in our offerings and catch trends before they surface to our partners and their users.
• Built and shipped an internal MVP that you think will be part of this ecosystem’s future.
• Experience as a product manager and in the crypto space.
• Strong knowledge of Bitcoin, Ethereum (e.g., ERC-20, ERC-721), and other protocols.
• Exceptional ability to research, execute, educate, and discuss with partners.
• Ability to communicate and align resources across multiple teams."
8,8,"

        Consensys",2 days ago,https://www.indeed.com/rc/clk?jk=68f4b6e3831dfc09&fccid=c3c98aa2beea188e&vjs=3,"New York, NY",,"
            In-depth knowledge about Ethereum is not required, but candidates should generally be interested in the technologies poised to transform the way we live and be...","
Senior Front End Developer
","
• Using HTML/CSS/Javascript to turn wireframes and visual designs into compelling production user experiences. Strong working knowledge developing cross platform/browser compatibility. Familiarity with web standards and best practices for fast load times and accessibility
• General knowledge of SEO and marketing analytics best practices
• Development and maintenance of the ConsenSys Design system
• Great interpersonal skills and a willingness to go above and beyond when collaborating with designers, marketers and other engineers
• Comfortable prototyping ideas and iterating them based on user feedback
• Strong visual and aesthetic sense – a portfolio of past projects is a plus
• Extensive experience with working with CMS platforms such as Wordpress
• A dynamic startup environment. ConsenSys is a leader with vision in the blockchain space and we are absorbing a significant portion of the attention. This is both exciting and challenging, as we learn to scale our organization while adhering to the principles of decentralization.
• Decentralized culture. We offer a new way of structuring an organization: holacratic (non-hierarchical) meaning you are free from hierarchical restraints, working in an environment that truly encourages all levels of collaboration.
• Global reach. Connect with brilliant minds across 6 continents as we continue to grow and build a diversified culture.

ConsenSys is a venture production studio and the leading technology firm in blockchain globally. We deliver products, solutions and platforms built using blockchain technology to transform how business is done in a complex network of buyers, suppliers and consumers.Our teams are busy at work building the future of identity, financial markets, commerce, the music industry, security, infrastructure and more. To accomplish this we've built out a flat organizational structure which we call the ConsenSys Mesh: a network of individuals & teams working autonomously towards the same goal. Our mission is to use these decentralized solutions to fundamentally reshape the economic, social, and political operating systems of the planet.Are you passionate about decentralizing our future and taking control of how we evolve? Then join us! We are seeking passionate, determined and resilient individuals who thrive in a self-directed, collaborative culture. Our technology is transforming global society and humanity - we welcome you to this exciting opportunity.The front-end developer will oversee the development of a wide variety of projects. The ideal candidate is first and foremost passionate about user experience, but also excited to help set-up a front-end tech stack that can be used across the wider ecosystem.Prior experience with startups and working with agile, cross-functional teams is a plus. In-depth knowledge about Ethereum is not required, but candidates should generally be interested in the technologies poised to transform the way we live and be open to learning deeply about blockchain topics.The Digital Experiences team focuses on the development of core brand expressions. The scope of our projects vary from website development (react.js, Wordpress) to CSS (Sass) code libraries for the ConsenSys brand design system. We are stewards of the ConsenSys brand and web ecosystem.Perks of the MeshConsenSys is an equal opportunity employer. We encourage people from all backgrounds to apply. We are committed to ensuring that our technology is made available and accessible to everyone. All employment decisions are made without regard to race, color, national origin, ancestry, sex, gender, gender identity or expression, sexual orientation, age, genetic information, religion, disability, medical condition, pregnancy, marital status, family status, veteran status, or any other characteristic protected by law.Click here ( http://bit.ly/2J0PwfB ) for the latest updates from ConsenSys."
9,9,"
        BlockDev",2 days ago,https://www.indeed.com/company/BlockDev/jobs/Blockchain-Developer-eddf725d9f19b32d?fccid=c4abe4a99f7248e2&vjs=3,"New York, NY",,"
            We are looking for Blockchain architects / Senior developers Experience with Blockchain (Ethereum, Corda (R3), Hyperledger) would be preferable but is not a...","
Blockchain Developer
","We are looking for Blockchain architects / Senior developers

Experience with Blockchain (Ethereum, Corda (R3), Hyperledger) would be preferable but is not a necessity.
• Ability to create POC's based on potential areas of success within the business
• Computer Science or equivalent degree would be preference, but relevant experience is priority.
• Participate in the design of performant and resilient distributed protocols
• Experience of Blockchain architecture in a commercial setting would be preferable
• C++ or Golang experience would be preference but 4+ years with core languages will be considered.
• Competitive salary, 401K. 100% paid health coverage (for you and your family) that includes dental and vision plans.
• Flexible working hours, including the ability to work from home.

Please send over your resume for review."
